Asset Name,Serial Number,Model
CHAS5017.chas.local,,
CHAS5020,J6BHN23,OptiPlex 7470 AIO
CHAS5021,D58QS13,OptiPlex 7470 AIO
CHAS5022,J6BGN23,OptiPlex 7470 AIO
CHAS5023,3ZGL2X2,Latitude 7400
CHAS5023.chas.local,,
CHAS5024,DFCSN23,OptiPlex 7070
CHAS5027,CQSHP13,Latitude 5500
CHAS5028,7Y11M13,Latitude 5500
CHAS5029,2FCCK13,Latitude 5500
CHAS5029.chas.local,,
CHAS5030,8KC0M13,Latitude 5500
CHAS5031,HQ50M13,Latitude 5500
CHAS5032,39WGP13,Latitude 5500
CHAS5033,CV1HP13,Latitude 5500
CHAS5033.chas.local,,
CHAS5033.chas.local,,
CHAS5035,G0WGP13,Latitude 5500
CHAS5036,BT1HP13,Latitude 5500
CHAS5037,92FHP13,Latitude 5500
CHAS5038,GF7HP13,Latitude 5500
CHAS5040,DH7HP13,Latitude 5500
CHAS5041,FP7HP13,Latitude 5500
CHAS5042,8WP4Z23,OptiPlex 7470 AIO
CHAS5043,BQDRL13,Latitude 5500
CHAS5044,7PR4X33,Latitude 5500
CHAS5045,1VR4X33,Latitude 5500
CHAS5046,5MS2X33,Latitude 5500
CHAS5048,6VH7853,OptiPlex 7470 AIO
CHAS5052,F5TX7B3,OptiPlex 7080
CHAS5053,28WGP13,Latitude 5500
CHAS5054,2G7HP13,Latitude 5500
CHAS5055,3P1HP13,Latitude 5500
CHAS5056,2V1HP13,Latitude 5500
CHAS5057,CY1HP13,Latitude 5500
CHAS5058,5P7HP13,Latitude 5500
CHAS5059,5F7HP13,Latitude 5500
CHAS5060,5BZHP13,Latitude 5500
CHAS5061,JP1HP13,Latitude 5500
CHAS5062,CDJJP13,Latitude 5500
CHAS5064,GMSHP13,Latitude 5500
CHAS5065,4N8D3X2,Latitude 5500
CHAS5066,B52G3X2,Latitude 5500
CHAS5067,1CVM3X2,Latitude 5500
CHAS5068,16G93X2,Latitude 5500
CHAS5069,5W7D3X2,Latitude 5500
CHAS5070,CPYC2R2,Latitude 5500
CHAS5072,54QF3X2,Latitude 5500
CHAS5073,HBG93X2,Latitude 5500
CHAS5074,48VM3X2,Latitude 5500
CHAS5075,BR6D2R2,Latitude 5500
CHAS5076,DNYC2R2,Latitude 5500
CHAS5076.chas.local,,
CHAS5077,2P6D2R2,Latitude 5500
CHAS5079,4T1HP13,Latitude 5500
CHAS5079.chas.local,,
CHAS5080,FSSHP13,Latitude 5500
CHAS5081,83MHP13,Latitude 5500
CHAS5082,2DZHP13,Latitude 5500
CHAS5084,,
CHAS5085,BN7HP13,Latitude 5500
CHAS5086,2PCDP13,Latitude 5500
CHAS5087BP,2F8RN13,Latitude 7300
CHAS5088,777RY23,OptiPlex 7470 AIO
CHAS5089,4523Q13,Latitude 5500
CHAS5090,DV6D2R2,Latitude 5500
CHAS5092,3RFLY23,OptiPlex 7470 AIO
CHAS5093,777QY23,OptiPlex 7470 AIO
CHAS5094,3RFKY23,OptiPlex 7470 AIO
CHAS5095,132BL13,Latitude 5500
CHAS5096,JHFZP13,Precision 5540
CHAS5098,GM1DL13,Latitude 5500
CHAS5099,6V1DL13,Latitude 5500
CHAS5099.chas.local,,
CHAS5100,4J4BL13,Latitude 5500
CHAS5101,3S3Z233,OptiPlex 7770 AIO
CHAS5102,3SF6333,OptiPlex 7770 AIO
CHAS5103,3SF5333,OptiPlex 7770 AIO
CHAS5104,1YFH333,OptiPlex 7070
CHAS5106,2D3RM13,Latitude 5500
CHAS5107,1J7RM13,Latitude 5500
CHAS5109,FLHQM13,Latitude 5500
CHAS5110,5J89633,Latitude 5500
CHAS5111,FL89633,Latitude 5500
CHAS5111.chas.local,,
CHAS5112,2JDDN13,Latitude 5500
CHAS5113,7GTC633,Latitude 5500
CHAS5115,4K89633,Latitude 5500
CHAS5116,DM89633,Latitude 5500
CHAS5117,JHTC633,Latitude 5500
CHAS5118,DZF9633,Latitude 5500
CHAS5119,CW5B633,Latitude 5500
CHAS5121,3K6BN13,Latitude 5500
CHAS5122,6ZD6633,Latitude 5500
CHAS5124,9D1DN13,Latitude 5500
CHAS5125,DG1DN13,Latitude 5500
CHAS5126,GBZ3N13,Latitude 5500
CHAS5127,6SP3633,Latitude 5500
CHAS5129,HXN4633,Latitude 5500
CHAS5130,9C33633,Latitude 5500
CHAS5131,7DC8633,Latitude 5500
CHAS5132,1JCB633,Latitude 5500
CHAS5133,H2B3633,Latitude 5500
CHAS5134,3FZ6633,Latitude 5500
CHAS5135,293RM13,Latitude 5500
CHAS5135.chas.local,,
CHAS5135.chas.local,,
CHAS5136,5ZP8633,Latitude 5500
CHAS5138,GGVVK13,Latitude 5500
CHAS5139,GSG3433,Latitude 5500
CHAS5140,C7QG633,Latitude 5500
CHAS5142,F7NM633,Precision 5540
CHAS5143,HXBG633,Latitude 5500
CHAS5143.chas.local,,
CHAS5145,75Q4433,Latitude 5500
CHAS5147,810M433,Latitude 5500
CHAS5148,8XW3T13,OptiPlex 7070
CHAS5149,8XX2T13,OptiPlex 7070
CHAS5150,,
CHAS5151,8XS6T13,OptiPlex 7070
CHAS5152,8XT9T13,OptiPlex 7070
CHAS5153,7KBLL33,Latitude 5500
CHAS5154,D1ZKL33,Latitude 5500
CHAS5155,HGZKL33,Latitude 5500
CHAS5155.chas.local,,
CHAS5156,BHCLL33,Latitude 5500
CHAS5158,JYYKL33,Latitude 5500
CHAS5159,6FKLL33,Latitude 5500
CHAS5161,7ZYKL33,Latitude 5500
CHAS5162,83ZKL33,Latitude 5500
CHAS5163,GCCLL33,Latitude 5500
CHAS5163.chas.local,,
CHAS5164,,
CHAS5164,HLBLL33,Latitude 5500
CHAS5165,95T3L33,Latitude 5500
CHAS5165.chas.local,,
CHAS5166,B7KLL33,Latitude 5500
CHAS5167,BMBLL33,Latitude 5500
CHAS5168,3BBLL33,Latitude 5500
CHAS5169,JFMY333,Precision 5540
CHAS5169.chas.local,,
CHAS5170,6S64433,Latitude 5500
CHAS5170.chas.local,,
CHAS5170.chas.local,,
CHAS5171,6PRV533,Latitude 5500
CHAS5172,BQRV533,Latitude 5500
CHAS5173,2PRS533,Latitude 5500
CHAS5174,9BPT433,Precision 5540
CHAS5175,FQRS533,Latitude 5500
CHAS5176,,
