name,serviceTag,model,status,imagedOn,inInventory
CHAS5339,3NNS453,Latitude 5500,DEPLOYED,,0
CHAS6430,3NQJWG3,Latitude 5520,DEPLOYED,,0
CHAS5055,3P1HP13,Latitude 5500,DEPLOYED,,0
CHAS6888,3P6FYS3,OptiPlex 5000,DEPLOYED,,0
CHAS6895,3PNFWL3,Latitude 5530,DEPLOYED,,0
CHAS6412,3PVPTG3,Latitude 5520,DEPLOYED,,0
CHAS6493,3QL3VG3,Latitude 5520,DEPLOYED,,0
CHAS6896,3QNFWL3,Latitude 5530,DEPLOYED,,0
CHAS6966,3QPH5S3,OptiPlex 7090,DEPLOYED,,0
CHAS6123,3QV3VG3,Latitude 5520,DEPLOYED,,0
CHAS6260,3QZ5KG3,XPS 17 9710,DEPLOYED,,0
CHAS5094,3RFKY23,OptiPlex 7470 AIO,DEPLOYED,,0
CHAS5092,3RFLY23,OptiPlex 7470 AIO,DEPLOYED,,0
CHAS5756,3RFSR93,Latitude 5520,DEPLOYED,,0
CHAS6506,3RQZCL3,Latitude 5520,DEPLOYED,,0
CHAS6413,3RZQTG3,Latitude 5520,DEPLOYED,,0
CHAS5101,3S3Z233,OptiPlex 7770 AIO,DEPLOYED,,0
CHAS5103,3SF5333,OptiPlex 7770 AIO,DEPLOYED,,0
CHAS5102,3SF6333,OptiPlex 7770 AIO,DEPLOYED,,0
CHAS5252,3SFFX33,Latitude 5500,DEPLOYED,,0
CHAS6346,3TCDHG3,Latitude 5520,DEPLOYED,,0
CHAS5860,3VF54B3,Latitude 5520,DEPLOYED,,0
CHAS5859,3WF54B3,Latitude 5520,DEPLOYED,,0
CHAS7177,3WHWMW3,OptiPlex 7400 AIO,DEPLOYED,,0
CHAS5622,3WNR573,Latitude 5510,DEPLOYED,,0
CHAS6684,3WPHSL3,Latitude 5520,DEPLOYED,,0
CHAS5929,3XB54B3,Latitude 5520,DEPLOYED,,0
CHAS6668,3XPHSL3,Latitude 5520,DEPLOYED,,0
CHAS5511,3XR6S73,Latitude 5510,DEPLOYED,,0
CHAS5907,3Y17BG3,Latitude 5520,DEPLOYED,,0
CHAS5409,3Y2KH63,OptiPlex 7080,DEPLOYED,,0
CHAS5437,3Y2LH63,OptiPlex 7080,DEPLOYED,,0
CHAS5433,3Y2MH63,OptiPlex 7080,DEPLOYED,,0
CHAS6560,3Y30VQ3,Precision 5570,DEPLOYED,,0
CHAS5438,3Y3CH63,OptiPlex 7080,DEPLOYED,,0
CHAS5434,3Y3DH63,OptiPlex 7080,DEPLOYED,,0
CHAS5410,3Y3GH63,OptiPlex 7080,DEPLOYED,,0
CHAS5407,3Y3HH63,OptiPlex 7080,DEPLOYED,,0
CHAS5435,3Y3JH63,OptiPlex 7080,DEPLOYED,,0
